Artist,Title
Olivia Rodrigo,Vampire
Morgan Wallen,Last Night
Luke Combs,Fast Car
Rema & Selena Gomez,Calm Down
Miley Cyrus,Flowers
Lil Durk Featuring J. Cole,All My Life
Taylor Swift,Cruel Summer
Gunna,Fukumean
Taylor Swift Featuring Ice Spice,Karma
Toosii,Favorite Song
Lil Uzi Vert,Flooded The Face
SZA,Kill Bill
SZA,Snooze
"Metro Boomin, The Weeknd & 21 Savage",Creepin'
Eslabon Armado X Peso Pluma,Ella Baila Sola
Miguel,Sure Thing
Jelly Roll,Need A Favor
Taylor Swift,Anti-Hero
Zach Bryan,Something In The Orange
Lil Uzi Vert Featuring Nicki Minaj,Endless Fashion
Morgan Wallen,You Proof
The Weeknd & Ariana Grande,Die For You
Morgan Wallen,Thinkin' Bout Me
Fifty Fifty,Cupid
Lil Uzi Vert,Suicide Doors
Yng Lvcas x Peso Pluma,La Bebe
Old Dominion,Memory Lane
Jordan Davis,Next Thing You Know
Dua Lipa,Dance The Night
Bailey Zimmerman,Religiously
Lil Uzi Vert Featuring Travis Scott,Aye
Grupo Frontera X Bad Bunny,Un x100to
Morgan Wallen,Thought You Should Know
Ed Sheeran,Eyes Closed
Nicki Minaj & Ice Spice With Aqua,Barbie World
David Guetta & Bebe Rexha,I'm Good (Blue)
Tyler Hubbard,Dancin' In The Country
Drake,Search & Rescue
Bad Bunny,Where She Goes
Post Malone,Chemical
Latto Featuring Cardi B,Put It On Da Floor Again
Fuerza Regida,Sabor Fresa
Peso Pluma & Grupo Frontera,Tulum
PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2"
Kane Brown,Bury Me In Georgia
Kaliii,Area Codes
Luke Combs,Love You Anyway
"Peso Pluma, Gabito Ballesteros & Junior H",Lady Gaga
Lil Uzi Vert,I Gotta
Miley Cyrus,Party In The U.S.A.
Lil Uzi Vert,Spin Again
Lil Uzi Vert,Crush Em
Lil Uzi Vert,X2
Fuerza Regida,TQM
Ice Spice & Nicki Minaj,Princess Diana
Young Thug Featuring Drake,Oh U Went
Tainy & Bad Bunny,Mojabi Ghost
Lil Durk Featuring Morgan Wallen,Stand By Me
Peso Pluma & Junior H,Luna
Lil Uzi Vert,Pluto To Mars
Peso Pluma,Bye
Bizarrap & Peso Pluma,"Bzrp Music Sessions, Vol. 55"
Young Nudy Featuring 21 Savage,Peaches & Eggplants
Jon Pardi,Your Heart Or Mine
Lil Uzi Vert,"Mama, I'm Sorry"
Doechii Featuring Kodak Black,What It Is (Block Boy)
Lil Uzi Vert,Amped
Justin Moore & Priscilla Block,"You, Me, & Whiskey"
David Kushner,Daylight
Lil Uzi Vert Featuring Don Toliver,Patience
Lil Uzi Vert,Nakamura
"David Guetta, Anne-Marie & Coi Leray",Baby Don't Hurt Me
Karol G x Shakira,TQG
"The Weeknd, Playboi Carti & Madonna",Popular
Post Malone,Mourning
Lil Uzi Vert,All Alone
Peso Pluma,Rubicon
Lil Uzi Vert,Died And Came Back
Peso Pluma,Por Las Noches
Doja Cat,Attention
Lil Uzi Vert Featuring Bring Me The Horizon,Werewolf
Junior H x Peso Pluma,El Azul
Morgan Wallen,Everything I Love
Morgan Wallen Featuring ERNEST,Cowgirls
Jonas Brothers,Waffle House
Sexyy Red & Tay Keith & Nicki Minaj,Pound Town 2
Lainey Wilson,Watermelon Moonshine
"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",Calling
Yahritza y Su Esencia x Grupo Frontera,Fragil
"Tyler, The Creator Featuring Kali Uchis",See You Again
HARDY,Truck Bed
Lil Uzi Vert,Zoom
Lil Uzi Vert,That Fiya
Fall Out Boy,We Didn't Start The Fire
Rod Wave,Fight The Feeling
Morgan Wallen,Ain't That Some
Peso Pluma & Jasiel Nunez,Lagunas
Noah Kahan,Dial Drunk
Jelly Roll With Lainey Wilson,Save Me
Miley Cyrus,Jaded
